headline,category,date,short_description_clean,main_category
Police File Terrorism Charges Against Pakistan's Ex-Premier Imran Khan,WORLD NEWS,2022-08-22,charge accuse khan threatening police officer judge sedition act,News
Minneapolis Teacher Contract Race Language Ignites Firestorm,EDUCATION,2022-08-21,minneapolis teacher settled strike earlier year celebrated groundbreaking provision new contract meant shield teacher color traditional layoff,News
Hawaii Seeking End To Conflict Over Astronomy On Sacred Mountain,U.S. NEWS,2022-08-21,native hawaiian say use sacred mauna kea summit scientist,News
Metal-Detecting Stranger Retrieves WomanÃÂs Ring Lost In Sea,U.S. NEWS,2022-08-21,francesca teal plea help facebook got attention local man spent two day searching water wetsuit headlamp metal detector,News
"Leon Vitali, Stanley KubrickÃÂs Right-Hand Man, Dies At 74",ENTERTAINMENT,2022-08-21,leon vitali actor became one stanley closest associate died,News
ÃÂDragon Ball SuperÃÂ Bests ÃÂBeastÃÂ At Box Office With $20.1M,ENTERTAINMENT,2022-08-21,idris elba may go lion action flick match latest movie,News
Defense In Parkland School ShooterÃÂs Trial Set To Present Its Case,U.S. NEWS,2022-08-21,nikolas cruz attorney monday present carried attack make case life prison instead death,News
"Judge Won't Block Georgia Ban On Bringing Food, Water To Voters In Line",POLITICS,2022-08-20,voting right group dismayed ruling upholds ban giving drink snack people waiting vote,News
"Trans Woman Can't Be Considered Parent Of Her Own Child, Rules Tokyo Court",WORLD NEWS,2022-08-20,court said woman legal parent daughter born transition one born afterward,News
"Dorli Rainey, Symbol Of Occupy Movement, Dies At 95",U.S. NEWS,2022-08-20,seattle activist turned racial justice affordable housing demonstration year,News
Mike Pence Says He Did Not Take Classified Documents When He Left Office,POLITICS,2022-08-20,former vice president made disclosure fbi agent seized classified top secret document donald trump florida home,News
Wendy's Pulls Lettuce From Sandwiches After Dozens Fall Sick From E. Coli,U.S. NEWS,2022-08-20,chain say pulling lettuce sandwich restaurant michigan ohio pennsylvania people eating reported falling ill,News
Shocking Drone Video Shows Alligator Attacking Florida Man,U.S. NEWS,2022-08-19,gator bite enough crush portion man skull break jaw,News
How To Tell If Your Chest Pain Is A Heart Problem,WELLNESS,2022-08-19,concerned chest pain might look sign know dealing whether need reach doctor asap,News
Mitch McConnell Gives Downbeat Forecast On GOP Winning Senate,POLITICS,2022-08-19,senate gop leader cited candidate quality factor whether republican win control november election,News
Vanessa Bryant Says Kobe Bryant Crash Photos Turned Grief To Horror,SPORTS,2022-08-19,bryant widow testified life fear every day photo husband death pop social medium,News
Rapper Young Thug Again Denied Bond In Racketeering And Gang Case,ENTERTAINMENT,2022-08-19,young thug along rapper gunna one dozen men charged georgia racketeering gang case,News
Media To Ask Judge To Release Trump Search Warrant Affidavit,POLITICS,2022-08-18,matter one utmost public interest involving action current former government official wrote attorney medium company,News
State Dept. 'Studying' 34-Year Sentence Of Saudi Woman Over Twitter Use,WORLD NEWS,2022-08-18,salma received lengthy prison sentence following account retweeting post critical kingdom twitter,News
"LGBTQ Pride Events Will Have Priority Access To Monkeypox Vaccines, Health Officials Say",U.S. NEWS,2022-08-18,extra vaccine dos made available city like atlanta new orleans pride celebration scheduled later year,News
"Trump Org. CFO To Plead Guilty, Testify Against Company",CRIME,2022-08-18,allen weisselberg charged taking million compensation trump organization several year,News
Deshaun Watson Settles With NFL For 11-Game Suspension,SPORTS,2022-08-18,cleveland brown quarterback accused sexual misconduct two dozen woman played houston texan,News
'Mike' And The Flawed Allure Of Authorized Biopics,CULTURE & ARTS,2022-08-18,biography long considered gold standard take consideration curated,News
Talks On Possible Watson Settlement Progress,SPORTS,2022-08-17,two people familiar negotiation tell ap talk nfl nfl player association discipline settlement cleveland brown quarterback deshaun watson progressed,News
CDC Director To Overhaul Agency With COVID Shortcomings In Mind,POLITICS,2022-08-17,rochelle walensky announced reset organization amid public criticism response coronavirus monkeypox,News
"General Motors Recalls Over 484,000 Vehicles Over 'Improperly'-Formed Seat Belts",U.S. NEWS,2022-08-17,automaker said aware crash injury result seat belt,News
Planned Parenthood To Spend Record $50 Million For Midterms,POLITICS,2022-08-17,nation leading reproductive health care provider pouring money contest access abortion ballot,News
"Former California Congressman Charged After 'Multiple Fraud Schemes,' Feds Say",U.S. NEWS,2022-08-17,terrance cox democrat represented congressional district january january,News
Syria Denies It Is Holding American Journalist Austin Tice,WORLD NEWS,2022-08-17,president joe biden accused syrian government detaining austin tice missing year,News
NBA Won't Host Election Day Games In Effort To Increase Voter Turnout,POLITICS,2022-08-16,many american living state strict voter suppression law election day chance cast ballot,News
Dog Catches Monkeypox In France In First Suspected Human-To-Pet Transmission,U.S. NEWS,2022-08-16,finding prompt debate need isolate pet monkeypox individual researcher wrote,News
The Denver BroncosÃÂ Historic Purchase Could Increase Number Of Minority-Owned NFL Teams,SPORTS,2022-08-16,bronco quarterback russell wilson said new ownership group includes two black woman major move diversity nfl,News
New Law Makes Period Products Free For All In Scotland,WORLD NEWS,2022-08-16,period product act say school university government building must make tampon pad available free bathroom,News
Tiger To Meet With Top Players Against LIV Golf,SPORTS,2022-08-16,pga tour delaware first time tiger wood,News
Afghanistan Marks One-Year Anniversary Since Taliban Takeover,WORLD NEWS,2022-08-16,poverty spiking woman right decimated,News
"Lindsey Graham Must Testify In Georgia Election Probe, Judge Says",POLITICS,2022-08-15,graham argued provision constitution provides absolute protection senator questioned legislative act,News
'Another World' Soap Star Robyn Griggs Dies At 49,ENTERTAINMENT,2022-08-15,actor known role life live previously revealed cervical cancer diagnosis,News
3 Injured In Shooting At Six Flags Great America Park Near Chicago,U.S. NEWS,2022-08-15,three people hurt parking lot outside six flag great america gurnee illinois shot fired vehicle,News
Iran Denies Involvement But Justifies Salman Rushdie Attack,WORLD NEWS,2022-08-15,iran focused writer recent year fatwa demanding killing still stand,News
Lawyers Appeal Brittney Griner's Russian Prison Sentence,WORLD NEWS,2022-08-15,lawyer american basketball star said griner conviction sentence excessive,News
Jury Selection In R. Kelly Federal Trial To Begin In Chicago,U.S. NEWS,2022-08-15,r b singer face charge rigged state child pornography trial,News
Palestinian Gunman Wounds 8 In Late-Night Jerusalem Shooting,WORLD NEWS,2022-08-14,attack jerusalem followed tense week israel palestinian gaza west bank,News
ÃÂBullet TrainÃÂ Repeats No. 1; ÃÂTop GunÃÂ Flies Back Up Ranks,ENTERTAINMENT,2022-08-14,brad pitt action film led movie ticket sale second straight weekend,News
Officials: Fire At Coptic Church In Cairo Kills 41,WORLD NEWS,2022-08-14,one worst fire tragedy egypt recent year,News
Don't Look Up! A Possible Meteor Causes Loud 'Boom' Sound In Utah,U.S. NEWS,2022-08-14,national weather service salt lake city office wrote likely picked meteor trail,News
"Salman Rushdie 'On The Road To Recovery,' Agent Says",WORLD NEWS,2022-08-14,author agent said road two day suffering serious injury stabbing lecture upstate new york,News
"'Catastrophic Failure' At Research Center Kills About 21,000 Fish",ENVIRONMENT,2022-08-13,university california davis investigating led death ten thousand fish including chinook salmon,News
Parents Arrested After Attempting To Grab Their Children During School Lockdown,U.S. NEWS,2022-08-13,police reportedly used stun gun least two parent arrived kid report armed man school campus,News
Sinema Took Wall Street Money While Killing Tax On Investors,POLITICS,2022-08-13,democratic kyrsten sinema arizona received nearly million campaign contribution past year private equity professional hedge fund manager venture capitalist whose interest staunchly defended congress,News
Video Shows NFL Player Hopping Into Stands To Stop Fighting Fans,SPORTS,2022-08-13,moore cameo took place fan fest event organized carolina panther,News
Suspect In Rushdie Stabbing Pleads Not Guilty As Author Remains Hospitalized,U.S. NEWS,2022-08-13,suspect identified new jersey man hadi matar,News
'Shocking' Fish Die-Off Sends Poland Scrambling To Determine Source,ENVIRONMENT,2022-08-13,polish prime minister mateusz morawiecki suspect amount chemical waste dumped country second largest river,News
Cleveland Browns QB Deshaun Watson Apologizes ÃÂTo All The Women I Have ImpactedÃÂ,SPORTS,2022-08-12,qb accused two dozen woman sexual misconduct massage therapy session,News
"Over $2 Billion Announced For Roads, Bridges, Bike Lanes Across U.S.",POLITICS,2022-08-12,numerous transportation project across getting slice billion new federal funding,News
"Polio Detected In NYC's Sewage, Suggesting Virus Circulating",U.S. NEWS,2022-08-12,health official say virus cause polio detected new york wastewater week case polio identified north city,News
DemocratsÃÂ Inflation Reduction Act Expected To Do Little To Reduce Inflation,POLITICS,2022-08-12,bill also touted lowering deficit much uncertain,News
"CDC Drops Some Quarantine, Screening Recommendations For COVID-19",U.S. NEWS,2022-08-11,long social distancing,News
Feathers Fly As Wild Turkey Dodges Cops In Slapstick Apartment Chase,WEIRD NEWS,2022-08-11,one officer used net attempt nab turkey shuffled around apartment friday,News
Steve Martin Says ÃÂOnly Murders In The BuildingÃÂ Could Be His Final Role,ENTERTAINMENT,2022-08-11,legendary comedian actor latest tv show multiple emmy year,News
Officials: NH Missing Girl Case Shifts To Homicide Probe,CRIME,2022-08-11,authority say search new hampshire girl disappeared age reported missing late last year considered homicide investigation,News
U.S. Unemployment Claims Rise To Highest Level Since November,U.S. NEWS,2022-08-11,application jobless aid climbed risen five last six week labor department reported,News
Gas Prices Dip Just Below $4 For The First Time In 5 Months,U.S. NEWS,2022-08-11,falling price gas airline ticket clothes giving consumer bit relief although inflation still close high,News
"As Joe Biden Wins Mount, 2024 Doubts Ease For Top House Dems",POLITICS,2022-08-10,two veteran new york democrat previously dodged question whether president run reelection,News
FX's 'Justified' Set Faces Violent Interruption For Second Time In 3 Weeks,ENTERTAINMENT,2022-08-10,chicago police said person threw toward set south loop neighborhood,News
Ex-Twitter Staffer Convicted For Sharing Private Information On Dissidents With Saudis,U.S. NEWS,2022-08-10,ahmad abouammo received cash payment gift return providing information saudi account critical kingdom,News
Stranded Whale Euthanized After Removal From French River,WORLD NEWS,2022-08-10,veterinarian said rescue operation dangerously thin white mammal began breathing difficulty,News
Sesame Place To Train Workers On Diversity After Lawsuit,U.S. NEWS,2022-08-10,sesame park announced implementation diversity inclusion training employee,News
Kobe Bryant Crash Photos Lawsuit To Be Heard By LA Jury,U.S. NEWS,2022-08-10,vanessa bryant life fear child one day confront horrific image loved one online lawsuit say,News
Why The Justice Department CanÃÂt Say More About The Mar-A-Lago Raid,POLITICS,2022-08-09,donald trump,News
Lawyer: Rudy Giuliani WonÃÂt Testify Tuesday In Georgia Election Probe,POLITICS,2022-08-09,special grand jury atlanta investigating whether former president donald trump others illegally tried interfere general election state,News
Idris Elba Reveals How He 'Hustled' His Way Onto Jay-Z's 'American Gangster' Album,ENTERTAINMENT,2022-08-09,american gangster actor told jimmy fallon wrote poem ended film companion album,News
Judge: 3 Players Who Joined Saudi-Backed Golf Tour Can't Compete In PGA Postseason,SPORTS,2022-08-09,three suspended golfer joined liv golf wo allowed compete pga tour postseason,News
Broncos Make History After Being Sold For Record $4.65 Billion,SPORTS,2022-08-09,record billion sale denver bronco walmart heir rob walton daughter unanimously approved nfl owner,News
3 Dead In Shooting At Florida Narcotics Anonymous Meeting,U.S. NEWS,2022-08-09,man went meeting killed friend shooting police say,News
Trump Said Wounded Veterans In Military Parades DidnÃÂt 'Look Good' For Him: Book,POLITICS,2022-08-08,hero john kelly reportedly responded trump new book journalist peter baker susan glasser,News
Lindsey Graham Scolded For Senate Outburst At Maggie Hassan,POLITICS,2022-08-08,graham directly insulted hassan presiding officer chris murphy stepped,News
Albuquerque Police Share Photo Of Car Eyed In Slayings Of Muslim Men,CRIME,2022-08-08,authority said four killing several thing common looking see crime could related,News
"ÃÂCome On, Bernie!ÃÂ Why Democrats Left Child Tax Credit Out Of The Inflation Reduction Act",POLITICS,2022-08-08,hope restoring child benefit appears bipartisan negotiation mitt romney,News
"How To Hide Even The Worst Tan Lines, According To Makeup Pros",STYLE & BEAUTY,2022-08-08,quick solution fix tan body makeup self tanner,News
"57 Votes in the Senate: Enough For Private Equity, Not Enough For Diabetics",POLITICS,2022-08-08,latest example senate rule help powerful,News
Brad PittÃÂs ÃÂBullet TrainÃÂ Pulls Into Station With $30.1M,ENTERTAINMENT,2022-08-07,stylized action romp starring brad pitt arrived million opening weekend,News
'The Flash' Movie Still Set For Release Despite Ezra Miller's Controversies,ENTERTAINMENT,2022-08-07,warner discovery ceo david zaslav recently teased film upcoming release spite miller arrest various allegation star,News
Biden Expresses Solidarity With Muslim Community After Albuquerque Killings,POLITICS,2022-08-07,president joe response come two day fourth muslim man found dead new mexico governor called targeted attack,News
L.A. Man Among 3 Killed In Lightning Strike Near White House,U.S. NEWS,2022-08-07,los angeles bank executive one three people killed last week lightning struck park across white house,News
"Over 120 Injured, Several Missing In Massive Cuban Oil Facility Fire",WORLD NEWS,2022-08-07,dense black smoke cloud fire spread mile west toward havana,News
Eastern Kentucky Braces For More Storms While Recovering From Extreme Flooding,U.S. NEWS,2022-08-07,national weather service extended flood watch area eastern kentucky said threat thunderstorm region much coming week,News
Woody Harrelson Reacts To Viral Photo Of DoppelgÃÂ¤nger Baby With Sweet Poem,ENTERTAINMENT,2022-08-06,danielle grier mulvenna tweeted photo smiling baby girl noted eerie resemblance woody harrelson actor took notice,News
Albuquerque Police Tell Muslim Community To Be 'Vigilant' Amid Series Of Murders,CRIME,2022-08-06,police searching shooter shooter believed responsible string murder around new mexico city,News
Canadian Man Uses Giant Billboard To Get Rid Of Leftover Dairy Product In Fridge,WEIRD NEWS,2022-08-06,man recently moved toronto wanted part way item big way,News
New York Couple Turns In 5-Foot Gator 'Zachary' They'd Been Keeping In Home,ENVIRONMENT,2022-08-06,zachary headed sanctuary better life ahead,News
This Is The Most Underappreciated Part Of The Democratic Prescription Drug Bill,POLITICS,2022-08-06,medicare recipient spend year lifesaving medication could change,News
GOP Senators Refuse To Rule Out Supporting Donald Trump Again ÃÂ Even If He's Indicted,POLITICS,2022-08-06,reportedly criminal investigation many senate republican taking stance,News
CPAC Has A Special Exhibit: A Sobbing Jan. 6 Rioter In Jail,POLITICS,2022-08-05,dancing stand around watch guy cry said one journalist describing bizarre scene,News
"5 Dead, 8 Injured In Fiery Los Angeles Crash After Speeding Car Runs Red Light",U.S. NEWS,2022-08-05,crash killed infant pregnant woman unborn child occurred near gas station windsor hill neighborhood,News
Trevor Noah Busts Putin For 'Another S**tty Thing' He's Doing To Screw With U.S.,ENTERTAINMENT,2022-08-05,daily show host call russia latest tactic,News
French Scientist Trolls Twitter By Claiming Chorizo Slice Is Actually A Distant Star,WEIRD NEWS,2022-08-05,never sausage star,News
Fertility Treatment Puts Many Families In Debt. Here's How To Manage It.,WELLNESS,2022-08-05,expert share advice easing financial burden ivf costly procedure,News
FBI Arrests 4 Louisville Cops In Breonna Taylor Shooting Investigation,U.S. NEWS,2022-08-04,officer accused using false information obtain search warrant led taylor killing,News
'Cafeteria Workers Do A Lot More Than People Realize',FOOD & DRINK,2022-08-04,many school employee quietly go beyond job description stacey truman show look like,News
WhatÃÂs Going On With HBO Max? HereÃÂs What We Know So Far.,CULTURE & ARTS,2022-08-04,speculation potentially drastic cut hbo max left viewer subscriber panicking future streaming platform,News
John Legend Says Kanye's Support Of Trump Ruined Their Friendship,ENTERTAINMENT,2022-08-04,singer said rapper support trump presidential run became much u sustain friendship,News
Demi Lovato Appears To Call Out Ex Wilmer Valderrama Over Age Gap In New Song,ENTERTAINMENT,2022-08-04,number told stop lovato sings snippet unreleased new track,News
Giant Sinkhole Swallows Chilean Land Owned By Canadian Mining Company,WORLD NEWS,2022-08-03,national service geology mining first became aware sinkhole saturday,News
Selena Gomez Developing Reboot Of '80s Classic 'Working Girl',ENTERTAINMENT,2022-08-03,beloved comedy starred melanie griffith harrison ford sigourney weaver getting reboot treatment,News
Volcano Near IcelandÃÂs Main Airport Erupts Again,WORLD NEWS,2022-08-03,icelandic meteorological office urged people go near fagradalsfjall volcano,News
Paul Pelosi Pleads Not Guilty To DUI Charges,POLITICS,2022-08-03,husband house speaker nancy pelosi charged driving influence may car crash california,News
Brad Pitt Defends Ana De Armas After Marilyn Monroe Accent Backlash,ENTERTAINMENT,2022-08-03,come de armas answer pitt,News
Hilary Duff's Husband Calls Out Candace Cameron Bure For Ignorant TikTok,ENTERTAINMENT,2022-08-02,musician matthew koma pointed july post patriotic thought,News
Sandy Hook Parent Testifies: Alex JonesÃÂ Apologies ÃÂAre WorthlessÃÂ,U.S. NEWS,2022-08-02,defamation trial jones sandy hook parent neil heslin said infowars conspiracist lit match started fire,News
Bandit The 'Guard Cat' Hailed As Hero After Thwarting Would-Be Robbery,WEIRD NEWS,2022-08-02,least two people tried break tupelo mississippi home last week cat everything could alert owner,News
"Senate Republicans Fold, Help Pass Veterans Health Bill After Blocking It",POLITICS,2022-08-02,pact act help veteran suffering illness caused toxic burn pit head desk,News
University of West Georgia Professor Charged With Murder Of Incoming Freshman,CRIME,2022-08-02,anna jones sitting parked car friend shot,News
"I Cooked For The World's 1%, But I Traded It To Make School Lunches",FOOD & DRINK,2022-08-01,dan giusti changing way institution like school prison senior center think food learned far,News
Arizona's Rusty Bowers Comes Out Against A 2024 Trump Bid,POLITICS,2022-08-01,state house speaker testified committee investigating trump effort cling power,News
"Yolanda Hadid Returns To Social Media After 9-Month Break For Depression, Lyme Relapse",ENTERTAINMENT,2022-08-01,hadid last post break october month accused gigi zayn malik shoving,News
Challenger Suraj PatelÃÂs Poll Shows Tightening Race In Key New York Primary,POLITICS,2022-08-01,patel taking carolyn maloney jerry nadler democratic nomination manhattan congressional district,News
"Chris Rock Has No Real Interest In Talking With Will Smith, Sources Say",ENTERTAINMENT,2022-08-01,clearly something bother chris need deal issue chris fine one insider told,News
4 'Micro-Transitions' In Your Day That May Be Causing You Anxiety,WELLNESS,2022-08-01,certain point day spark stress without even realizing deal,News
Death Toll In Kentucky Hits 28 As Infrastructure Damage Hampers Flood Recovery,U.S. NEWS,2022-07-31,number death massive flooding kentucky continued climb amid threat heavy rain,News
Vulnerable House Dems See Abortion As Winning Campaign Theme,POLITICS,2022-07-31,supreme court decision abortion scrambled political dynamic heading november election control congress stake,News
Report: Prince Charles' Charity Got Donation From Bin Ladens,WORLD NEWS,2022-07-31,prince charitable fund accepted million pound million donation relative osama bin laden newspaper reported,News
ÃÂDC League Of Super-PetsÃÂ Takes No. 1 With $23 Million,ENTERTAINMENT,2022-07-31,superhero spinoff dog knocked jordan second place,News
New York City Declares Monkeypox A Public Health Emergency,U.S. NEWS,2022-07-31,many new york city resident could risk monkeypox infection according city official,News
Chinese Rocket Debris Makes Out-Of-Control Fall Back To Earth,SCIENCE,2022-07-31,video show people apparently spotting rocket burning debris night sky malaysia,News
Man Arrested For Alleged Bomb Threat Against Arizona Election Official After Jan. 6,U.S. NEWS,2022-07-30,james clark allegedly researched kill katie hobbs threatening arizona democratic secretary state explosive device,News
Rain Cascades From Vegas Casino Ceilings As Thunderstorms Flood Desert,ENVIRONMENT,2022-07-30,part parched southwest hit flood multiple people needing rescue nevada arizona,News
Photos Reveal Ivana Trump's Final Resting Place At Bedminster Golf Course,U.S. NEWS,2022-07-30,plot near first tee clubhouse new york post report,News
Ex-DHS Aide Suggests She 'Went Very Public' Because She Didn't Trust Inspector General,POLITICS,2022-07-30,olivia troye quit administration appeared call trump official embroiled secret service scandal,News
DHS Watchdog Fails To Notify Congress Over Missing Jan. 6 Texts Of 2 Trump Officials,POLITICS,2022-07-29,phone homeland security leader chad wolf ken cuccinelli reportedly wiped much like trump secret service agent,News
'Covington Kid' Nicholas Sandmann Loses Defamation Suits Against Major Media Outlets,U.S. NEWS,2022-07-29,sandmann footage native american elder went viral lost several outlet including new york time abc news,News
Alabama Official Told Reporter Her Skirt Was Too Short To Witness An Execution,POLITICS,2022-07-29,ivana hrynkiw ultimately allowed witness killing joe nathan james executed wish family member,News
Kenan Thompson: Ending 'SNL' After 50th Season 'Might Not Be A Bad Idea',ENTERTAINMENT,2022-07-29,cast member said lorne michael rumored departure could affect quality show,News
Principal Of Texas School Where Shooting Happened Reinstated,U.S. NEWS,2022-07-29,reinstatement came mandy gutierrez disputed finding developed uvalde school,News
Infowars Sidekick Owen Shroyer Testifies In Alex Jones' Sandy Hook Defamation Trial,U.S. NEWS,2022-07-28,shroyer peddled false story infowars neil heslin hold dead child massacre sandy hook elementary,News
BeyoncÃÂ© Shares Rare Glimpse Of All 3 Kids In Never-Before-Seen Photo,ENTERTAINMENT,2022-07-28,music superstar gave fan adorable look blue rumi sir carter ahead release new album renaissance,News
Democrats' Reconciliation Package The 'Biggest Climate Action In Human History',POLITICS,2022-07-28,deal democrat struck late thursday includes historic billion clean energy climate investment also requires new oil gas leasing,News
Deputy Kills Unarmed Black Man After Alleged Shoplifting From Houston Dollar General,POLITICS,2022-07-27,footage show harris county office deputy chasing man pinning hitting stun gun shooting back,News
Chris Cuomo Returning To Cable News After CNN Ouster,MEDIA,2022-07-27,former head cnn show taken job host newsnation,News
2 Cops Sentenced For Violating George Floyd's Rights,U.S. NEWS,2022-07-27,federal government brought civil right charge four officer may month chauvin convicted murder manslaughter state court,News
GOP Sen. Joni Ernst Blocks Bill Protecting Right To Birth Control,POLITICS,2022-07-27,republican lawmaker celebrating end nationwide abortion right blocking federal protection birth control,News
Should I Take My Cat Out In This Heat?,WELLNESS,2022-07-27,certain temperature dangerous pet expert share precaution tip take care feline friend heat wave,News
'Stranger Things' Star Joseph Quinn Detained By Customs Agent Demanding Season 5 Return,ENTERTAINMENT,2022-07-26,british actor play eddie munson said snared way tonight show jimmy fallon,News
